catalog_id	name	current_disposition	closure_class	source_grade	target_disposition	recommended_package	authoritative_or_best_evidence	required_closure
ENC-0010	ALCOR	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/ALCOR	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0023	Apple I character set	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Apple_I_character_set	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0027	ARIB STD B24 character set	codec_gap	gap_concrete_primary_missing	B concrete codec; authoritative full mapping/profile missing	retain_unimplemented_blocker	iconvex_telecom	https://www.wikidata.org/wiki/Q39087152 | https://en.wikipedia.org/wiki/ARIB_STD_B24_character_set	ARIB STD-B24 is versioned/profiled and the latest complete official standard is not freely available; sample PDFs are insufficient. Do not implement from a tertiary chart. First pin a complete authoritative mapping, byte/state serialization, version, undefined-byte behavior and licensing.
ENC-0035	Bangladesh Standard Code for Information Interchange	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/Bangladesh_Standard_Code_for_Information_Interchange	Do not conflate BDS 1520 Unicode repertoire with BDS 1934/1935 BSCII transport. Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-0043	BCD (character encoding)	research_candidate	candidate_family_split_or_exact_repertoire_no_transport	D family/repertoire; split exact transported children	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://en.wikipedia.org/wiki/BCD_%28character_encoding%29	Keep as family/repertoire metadata and enumerate exact children. Only children with a normative byte/state transport become codecs.
ENC-0067	Bitstream International Character Set	codec_gap	gap_blocked_non_octet_and_incomplete_unicode_binding	B1 secondary two-byte chart with unresolved non-Unicode glyphs	retain_unimplemented_blocker	iconvex_specs	https://en.wikipedia.org/w/index.php?oldid=1281909572 (wikitext SHA-256 d4d327400fecdaa4ce3cb2f74369c893c6921774b9255aa835aebe5e28ddb636; 00/01-prefixed two-byte chart with unmapped and non-Unicode glyphs) | https://tho-otto.de/hypview/hypview.cgi?charset=UTF-8&index=867&url=%2Fhyp%2Fcompend.hyp | repo:iconvex_specs/priv/sources/secondary-source-qualified-single-byte/BLOCKERS.md	Do not implement BICS as a single-byte codec or invent replacement/private-use mappings. Pin a primary BICS framing specification and an explicit content-qualified Unicode policy for every non-Unicode glyph before registering a versioned two-byte profile.
ENC-0071	Box-drawing characters	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	repertoire_abstraction (box-drawing characters)	catalog-only	https://en.wikipedia.org/wiki/Box-drawing_characters	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0072	Braille	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	writing_system (Braille)	catalog-only	https://en.wikipedia.org/wiki/Braille	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0080	BSCII	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/BSCII	Do not conflate BDS 1520 Unicode repertoire with BDS 1934/1935 BSCII transport. Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-0084	Caret notation	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	text_transform (caret notation)	catalog-only	https://en.wikipedia.org/wiki/Caret_notation	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0091	CDC punched-card BCD	codec_gap	gap_generic_ambiguous_profile_already_source_qualified	C generic identity ambiguous; exact children exist	retain_generic_gap_and_link_exact_children	iconvex_specs	https://homepage.cs.uiowa.edu/~jones/cards/codes.html	Retain the generic gap unless a primary source proves one generic identity. The exact secondary reconstruction is implemented separately as BCD-CDC-IOWA with exhaustive source-qualified tests.
ENC-0095	CER-GS	research_candidate	candidate_blocked_contradictory_published_mapping	B1 published source-qualified table is internally contradictory	retain_unimplemented_blocker	iconvex_specs	https://www.evertype.com/standards/mappings/pc/CERGS.TXT (SHA-256 9aece7742b4fc70f6047f888815efc1f21f08b521c03e07ed96e91b50fc25f36); repo:iconvex_specs/priv/sources/ambiguous-primary-codecs/BLOCKERS.md	Do not implement until the publisher supplies a corrected byte-unique revision or authoritative erratum resolving all duplicate byte assignments and the 8F/BF conflict.
ENC-0102	Chinese Character Code for Information Interchange	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://www.wikidata.org/wiki/Q1073697 | https://en.wikipedia.org/wiki/Chinese_Character_Code_for_Information_Interchange	MARC-8 already contains the complete LOC EACC component repertoire; generic CCCII/EACC still needs an exact transport/profile identity. Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-0111	Chinese telegraph code	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_telecom	https://www.wikidata.org/wiki/Q5100952 | https://en.wikipedia.org/wiki/List_of_information_system_character_sets | https://en.wikipedia.org/wiki/Chinese_telegraph_code	Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-0112	CJK characters	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	repertoire_abstraction (CJK characters)	catalog-only	https://en.wikipedia.org/wiki/CJK_characters	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0113	CJK Unified Ideographs	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	repertoire_profile (CJK Unified Ideographs)	catalog-only	https://en.wikipedia.org/wiki/CJK_Unified_Ideographs	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0114	Cluff–Foster–Idelson code	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Cluff%E2%80%93Foster%E2%80%93Idelson_code	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0115	Code page 0	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	control_value/selector (CP0)	catalog-only	https://en.wikipedia.org/wiki/Code_page_0	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0141	Code page 1036	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/Code_page_1036	Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-0142	Code page 1038	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/Code_page_1038	Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-0147	Code page 1050	research_candidate	candidate_blocked_missing_exact_primary_artifact	B1 primary description without pinned table	blocked_missing_primary_artifact	iconvex_specs	HP Roman Extension is described in HP/IBM documentation, but no exact versioned byte table or artifact URL has been pinned	Locate and pin the exact primary artifact and profile before deriving any byte-to-Unicode table; a family description is not sufficient.
ENC-0149	Code page 1058	research_candidate	candidate_blocked_incomplete_primary_unicode_binding	B1 primary byte-to-GCGID grid; exact Unicode binding incomplete	retain_unimplemented_blocker	iconvex_specs	repo:iconvex_specs/priv/sources/ambiguous-primary-codecs/CP01058.pdf (SHA-256 c806982963594a77a3f1484592fae738fcf95e8531a419e9205d187287468b36); repo:iconvex_specs/priv/sources/ambiguous-primary-codecs/BLOCKERS.md	Do not implement until an authoritative IBM converter or GCGID-to-Unicode source resolves eight unbound GCGIDs plus SM910000; do not substitute the related PC8 Danish/Norwegian profile.
ENC-0151	Code page 1090	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> DEC-SPECIAL	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_1090	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: DEC-SPECIAL.
ENC-0152	Code page 1093	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Code_page_1093	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0162	Code page 1111	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> ISO-8859-2	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_1111	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: ISO-8859-2.
ENC-0165	Code page 1116	codec_gap	gap_generic_ambiguous_profile_already_source_qualified	C generic identity ambiguous; exact children exist	retain_generic_gap_and_link_exact_children	iconvex_specs	https://www.wikidata.org/wiki/Q96375205 | https://en.wikipedia.org/wiki/Code_page_1116	Generic CP1116 is ambiguous; existing exact child IBM-1116-850-P100-COMPOSITE. Keep the generic row unresolved; link it to the already implemented source-qualified composite profiles and never silently alias the generic number.
ENC-0166	Code page 1117	codec_gap	gap_generic_ambiguous_profile_already_source_qualified	C generic identity ambiguous; exact children exist	retain_generic_gap_and_link_exact_children	iconvex_specs	https://www.wikidata.org/wiki/Q17510261 | https://en.wikipedia.org/wiki/Code_page_1117	Generic CP1117 is ambiguous; existing exact child IBM-1117-437-P100-COMPOSITE. Keep the generic row unresolved; link it to the already implemented source-qualified composite profiles and never silently alias the generic number.
ENC-0167	Code page 1118	research_candidate	candidate_blocked_ambiguous_text_vs_graphic_profile	B1 primary graphic GCGID grid; exact text-converter identity unresolved	retain_unimplemented_blocker	iconvex_specs	repo:iconvex_specs/priv/sources/ambiguous-primary-codecs/CP01118.pdf (SHA-256 360ca9a155ef35171365d943b38faaa2ca553b0252e41261cd0f1b387d7940e9); repo:iconvex_specs/priv/sources/ambiguous-primary-codecs/BLOCKERS.md	Do not implement generic CP1118 until an exact IBM/LST1283 converter mapping resolves EF, FA, SM910000, and C0/DEL semantics; CP774 remains a separate related text profile.
ENC-0175	Code page 1200	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> UTF-16LE	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_1200	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: UTF-16LE.
ENC-0176	Code page 12000	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> UTF-32LE	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_12000	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: UTF-32LE.
ENC-0182	Code page 165	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> CP864	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_165	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: CP864.
ENC-0201	Code page 28600	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> ISO-8859-10	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_28600	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: ISO-8859-10.
ENC-0202	Code page 28601	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> ISO-8859-11	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_28601	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: ISO-8859-11.
ENC-0203	Code page 28602	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	withdrawn_unassigned_part (ISO-8859-12)	catalog-only	https://en.wikipedia.org/wiki/Code_page_28602	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0205	Code page 28604	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> ISO-8859-14	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_28604	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: ISO-8859-14.
ENC-0207	Code page 28606	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> ISO-8859-16	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_28606	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: ISO-8859-16.
ENC-0209	Code page 310	codec_gap	gap_generic_ambiguous_profile_already_source_qualified	C generic identity ambiguous; exact children exist	retain_generic_gap_and_link_exact_children	iconvex_specs	https://www.wikidata.org/wiki/Q55607840 | https://en.wikipedia.org/wiki/Code_page_310	Generic CP310 conflates profiles; existing exact children IBM-310-293-P100-COMPOSITE-VPUA and IBM-TNZ-CP310-B1EAE3C. Keep the generic row unresolved; link it to the already implemented source-qualified composite profiles and never silently alias the generic number.
ENC-0210	Code page 351	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Code_page_351	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0211	Code page 353	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Code_page_353	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0212	Code page 354	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Code_page_354	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0213	Code page 355	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Code_page_355	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0214	Code page 357	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Code_page_357	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0215	Code page 358	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Code_page_358	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0216	Code page 359	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Code_page_359	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0217	Code page 360	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Code_page_360	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0219	Code page 38596	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> ISO-8859-6	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_38596	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: ISO-8859-6.
ENC-0222	Code page 57344	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	control/reserved code-page value	catalog-only	https://en.wikipedia.org/wiki/Code_page_57344	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0223	Code page 61439	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	control/reserved code-page value	catalog-only	https://en.wikipedia.org/wiki/Code_page_61439	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0224	Code page 65280	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	control/reserved code-page value	catalog-only	https://en.wikipedia.org/wiki/Code_page_65280	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0225	Code page 65533	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	control/reserved code-page value	catalog-only	https://en.wikipedia.org/wiki/Code_page_65533	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0226	Code page 65534	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	control/reserved code-page value	catalog-only	https://en.wikipedia.org/wiki/Code_page_65534	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0227	Code page 65535	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	control/reserved code-page value	catalog-only	https://en.wikipedia.org/wiki/Code_page_65535	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0237	Code page 790	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> MAZOVIA	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_790	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: MAZOVIA.
ENC-0266	Code page 899	research_candidate	candidate_blocked_two_primary_unicode_bindings	B1 primary byte/GCGID tables plus pinned IBM P100 join; two bindings unresolved	retain_unimplemented_blocker	iconvex_specs	repo:iconvex_specs/priv/sources/ambiguous-primary-codecs/CP00899.txt (SHA-256 35c61df06c2f004b8c01f166339e943829767a9dec79e70a04bf8a1a1828b464); repo:iconvex_specs/priv/sources/ambiguous-primary-codecs/CP00259.txt (SHA-256 2a034df8a13bd44a26ee12439eb670fe8966499dc06280d692bd448d5eecdd57); repo:iconvex_specs/priv/sources/ambiguous-primary-codecs/BLOCKERS.md	Do not implement until authoritative standardized Unicode identities exist for byte 99 SM600001 and byte B4 SA350008; do not guess visual equivalents or expose an AFP PUA value as portable.
ENC-0267	Code page 900	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> CP866	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_900	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: CP866.
ENC-0272	Code page 907	codec_gap	gap_generic_ambiguous_profile_already_source_qualified	C generic identity ambiguous; exact children exist	retain_generic_gap_and_link_exact_children	iconvex_specs	https://www.wikidata.org/wiki/Q56291572 | https://en.wikipedia.org/wiki/Code_page_907	Generic CP907 is ambiguous; existing exact child IBM-907-CDRA-P100-VPUA-COMPOSITE. Keep the generic row unresolved; link it to the already implemented source-qualified composite profiles and never silently alias the generic number.
ENC-0278	Code page 919	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> ISO-8859-10	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_919	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: ISO-8859-10.
ENC-0284	Code page 932 (Microsoft Windows)	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> CP932	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_932_%28Microsoft_Windows%29	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: CP932.
ENC-0286	Code page 936 (IBM)	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Code_page_936_%28IBM%29	IBM CP936 is Shift-GB (CP903+CP928), distinct from Microsoft CP936/GBK; SHIFTGB.TXT is source-qualified but IBM revision/UDC identity is unresolved. Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0287	Code page 936 (Microsoft Windows)	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> CP936/GBK	iconvex core registry	https://en.wikipedia.org/wiki/Code_page_936_%28Microsoft_Windows%29	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: CP936/GBK.
ENC-0298	Code page 991	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/Code_page_991	CP991 is often described as Mazovia but sources disagree about a Zloty variant; prove the exact table before aliasing. Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-0299	Code page 999	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Code_page_999	Concrete DOS Serbo-Croatian/CROSCII composite (lower JUS I.B1.002 plus upper CP437 in secondary sources); pin exact variant before implementation. Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0300	Commodore Amiga	codec_gap	gap_concrete_primary_missing	B concrete codec; authoritative full mapping/profile missing	retain_unimplemented_blocker	iconvex_specs	https://www.wikidata.org/wiki/Q60982600	Do not implement from a tertiary chart. First pin a complete authoritative mapping, byte/state serialization, version, undefined-byte behavior and licensing.
ENC-0302	Compucolor II character set	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Compucolor_II_character_set	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0413	CROSCII	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/CROSCII	Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-0414	CS Indic character set	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/CS_Indic_character_set	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0419	CSX Indic character set	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/CSX_Indic_character_set | https://en.wikipedia.org/wiki/CSX%2B_Indic_character_set	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
